p,m,average_trip_length,sigma,mu
1,1,0,1,2
2,1,0,1,2
3,1,0,1,2
4,1,0,1,2
5,1,0,1,2
6,1,0,1,2
7,1,0,1,2
8,1,0,1,2
1,2,0,1,2
2,2,0,1,2
3,2,0,1,2
4,2,0,1,2
5,2,0,1,2
6,2,0,1,2
7,2,0,1,2
8,2,0,1,2
1,3,13.31701908,0.864488768,1.710427498
2,3,27.81343083,1.204234463,1.77369283
3,3,5.243040437,0.57936763,0.700699175
4,3,8.450150015,0.72885494,1.108796847
5,3,8.05257315,0.751280909,1.018762975
6,3,11.27933372,0.752297848,1.301870837
7,3,12.30474764,0.90232472,1.281265765
8,3,31.58648713,1.277900602,1.248619826
1,5,13.31701908,0.549244111,1.742378087
2,5,27.81343083,0.536516375,1.622644667
3,5,5.243040437,0.57721846,1.505822097
4,5,8.450150015,0.511240586,1.269236213
5,5,8.05257315,0.545777058,1.19245799
6,5,11.27933372,0.529112697,1.325845944
7,5,12.30474764,0.599508871,1.446878688
8,5,31.58648713,1.618813921,1.648349602
1,7,0,0.491851354,2.663215094
2,7,0,0.506918978,2.294073679
3,7,0,1.110548399,2.418105069
4,7,0,0.832011515,2.425649
5,7,0,0.573918177,1.970652953
6,7,0,0.808298931,2.434548742
7,7,0,0.5974798,2.251655429
8,7,0,1.148381825,3.023966084
