p,m,tp,average_trip_length,sigma,mu
12,1,1,0,0.263931053,0.525018814
12,1,2,0,0.21586703,0.441969275
12,1,3,0,0.213458246,0.614646725
12,1,4,0,0.271984946,0.70871081
13,1,1,0,0.124149765,0.639793819
13,1,2,0,0.109873485,0.652868207
13,1,3,0,0.284864557,0.61069704
13,1,4,0,0.206922229,0.596486031
14,1,1,0,0.222135373,0.3942613
14,1,2,0,0.162465457,0.407308852
14,1,3,0,0.230205806,0.407293079
14,1,4,0,0.354465892,0.427711863
15,1,1,0,0.324320427,0.436045693
15,1,2,0,0.214571565,0.417386516
15,1,3,0,0.355028693,0.426374136
15,1,4,0,0.311969929,0.43708966
16,1,1,0,0.293533527,0.540430017
16,1,2,0,0.261465589,0.38850223
16,1,3,0,0.212808941,0.516924792
16,1,4,0,0.248563719,0.468526098
18,1,1,0,0.322942468,0.605406673
18,1,2,0,0.108116843,0.58701058
18,1,3,0,0.175032978,0.589124066
18,1,4,0,0.173630019,0.566483383
12,2,1,0,0.674009097,0.880032996
12,2,2,0,0.653912798,0.80225898
12,2,3,0,0.699650766,1.364302727
12,2,4,0,0.70272631,1.181369841
13,2,1,0,0.769376213,1.344595366
13,2,2,0,0.76412593,1.339275374
13,2,3,0,0.794746709,1.37101323
13,2,4,0,0.826024045,1.313826799
14,2,1,0,0.622408755,0.568784723
14,2,2,0,0.608189949,0.560464409
14,2,3,0,0.615032873,0.542934145
14,2,4,0,0.671444564,0.539762359
15,2,1,0,0.491043869,0.910807244
15,2,2,0,0.463132717,0.893949929
15,2,3,0,0.479941874,0.905205125
15,2,4,0,0.509434622,0.914866402
16,2,1,0,0.713316638,0.598751435
16,2,2,0,0.663515741,0.73934858
16,2,3,0,0.639019415,0.938217006
16,2,4,0,0.678694264,0.918438384
18,2,1,0,0.886766437,1.330150024
18,2,2,0,0.902106951,1.284594709
18,2,3,0,0.907935505,1.266825446
18,2,4,0,0.915464679,1.238021118
12,3,1,15.3202226,1.009731488,1.935318027
12,3,2,15.3202226,0.945635771,1.890479829
12,3,3,15.3202226,0.908180431,1.800991624
12,3,4,15.3202226,0.839433773,1.913018565
13,3,1,9.601456312,0.83820112,1.481812742
13,3,2,9.601456312,0.842431678,1.478930523
13,3,3,9.601456312,0.842657265,1.464770156
13,3,4,9.601456312,0.851084418,1.447264459
14,3,1,8.507787722,0.832271324,1.352894803
14,3,2,8.507787722,0.833613003,1.347113829
14,3,3,8.507787722,0.836855951,1.354189028
14,3,4,8.507787722,0.827673771,1.351448449
15,3,1,9.725790372,0.882500808,1.505338509
15,3,2,9.725790372,0.877138658,1.501896824
15,3,3,9.725790372,0.880008125,1.510291697
15,3,4,9.725790372,0.882071461,1.507960536
16,3,1,11.78249044,0.84724078,1.463327211
16,3,2,11.78249044,0.82494002,1.54773738
16,3,3,11.78249044,0.827482424,1.619405117
16,3,4,11.78249044,0.73877635,1.504918234
18,3,1,22.46621238,0.91037004,1.987240973
18,3,2,22.46621238,0.914213414,1.992908189
18,3,3,22.46621238,0.913258212,1.994509113
18,3,4,22.46621238,0.914909229,2.006109006
12,5,1,15.3202226,0.825982045,1.803246292
12,5,2,15.3202226,0.66451089,1.445607583
12,5,3,15.3202226,0.488758256,1.687067557
12,5,4,15.3202226,0.650114721,1.427348756
13,5,1,9.601456312,0.982370136,1.817300337
13,5,2,9.601456312,1.015218929,1.864418895
13,5,3,9.601456312,1.038163382,1.927750844
13,5,4,9.601456312,0.972110256,1.813077435
14,5,1,8.507787722,0.592493668,1.448030182
14,5,2,8.507787722,0.600441185,1.431481056
14,5,3,8.507787722,0.626843417,1.445249178
14,5,4,8.507787722,0.634233778,1.45308269
15,5,1,9.725790372,0.50827807,1.444872426
15,5,2,9.725790372,0.510147773,1.439727021
15,5,3,9.725790372,0.534212577,1.433699811
15,5,4,9.725790372,0.584658332,1.455639618
16,5,1,11.78249044,0.82065171,1.599140566
16,5,2,11.78249044,0.609270613,1.471766878
16,5,3,11.78249044,0.688451998,1.424374247
16,5,4,11.78249044,0.551997609,1.423370315
18,5,1,22.46621238,0.833153898,1.894685247
18,5,2,22.46621238,0.845365626,1.919217602
18,5,3,22.46621238,0.852443359,1.949559435
18,5,4,22.46621238,0.841003055,1.935359075
12,7,1,0,2,1
12,7,2,0,2,1
12,7,3,0,2,1
12,7,4,0,2,1
13,7,1,0,2,1
13,7,2,0,2,1
13,7,3,0,2,1
13,7,4,0,2,1
14,7,1,0,2,1
14,7,2,0,2,1
14,7,3,0,2,1
14,7,4,0,2,1
15,7,1,0,2,1
15,7,2,0,2,1
15,7,3,0,2,1
15,7,4,0,2,1
16,7,1,0,2,1
16,7,2,0,2,1
16,7,3,0,2,1
16,7,4,0,2,1
18,7,1,0,2,1
18,7,2,0,2,1
18,7,3,0,2,1
18,7,4,0,2,1
