p,m,tp,average_trip_length,sigma,mu
12,3,1,15.3202226,1.009731488,1.935318027
12,3,2,15.3202226,0.945635771,1.890479829
12,3,3,15.3202226,0.908224688,1.800920851
12,3,4,15.3202226,0.839352177,1.912953576
13,3,1,9.601456312,0.83820112,1.481812742
13,3,2,9.601456312,0.842431678,1.478930523
13,3,3,9.601456312,0.842657265,1.464770156
13,3,4,9.601456312,0.84592435,1.443211065
14,3,1,8.507787722,0.832271324,1.352894803
14,3,2,8.507787722,0.833613003,1.347113829
14,3,3,8.507787722,0.836855951,1.354189028
14,3,4,8.507787722,0.827673771,1.351448449
15,3,1,9.725790372,0.882500808,1.505338509
15,3,2,9.725790372,0.877138658,1.501896824
15,3,3,9.725790372,0.880008125,1.510291697
15,3,4,9.725790372,0.881086137,1.50687556
16,3,1,11.78249044,0.84724078,1.463327211
16,3,2,11.78249044,0.82494002,1.54773738
16,3,3,11.78249044,0.827482424,1.619405117
16,3,4,11.78249044,0.738781252,1.504795539
18,3,1,22.46621238,0.91037004,1.987240973
18,3,2,22.46621238,0.914213414,1.992908189
18,3,3,22.46621238,0.913258212,1.994509113
18,3,4,22.46621238,0.914909229,2.006109006
12,5,1,15.3202226,0.826346422,1.803269119
12,5,2,15.3202226,0.66451089,1.445607583
12,5,3,15.3202226,0.489969509,1.687503647
12,5,4,15.3202226,0.646680784,1.425136954
13,5,1,9.601456312,0.985739354,1.817172347
13,5,2,9.601456312,1.016170931,1.864407936
13,5,3,9.601456312,1.04582625,1.928730774
13,5,4,9.601456312,0.968116301,1.775347164
14,5,1,8.507787722,0.592657277,1.448190964
14,5,2,8.507787722,0.600441185,1.431481056
14,5,3,8.507787722,0.626843417,1.445249178
14,5,4,8.507787722,0.613536978,1.424147782
15,5,1,9.725790372,0.50827807,1.444872426
15,5,2,9.725790372,0.510147773,1.439727021
15,5,3,9.725790372,0.532603189,1.43296929
15,5,4,9.725790372,0.543163265,1.423266621
16,5,1,11.78249044,0.82065171,1.599140566
16,5,2,11.78249044,0.609270613,1.471766878
16,5,3,11.78249044,0.688189799,1.424407433
16,5,4,11.78249044,0.551997609,1.423370315
18,5,1,22.46621238,0.833153898,1.894685247
18,5,2,22.46621238,0.845639072,1.91879191
18,5,3,22.46621238,0.852443359,1.949559435
18,5,4,22.46621238,0.841003055,1.935359075
12,7,1,0,2,1
12,7,2,0,2,1
12,7,3,0,2,1
12,7,4,0,2,1
13,7,1,0,2,1
13,7,2,0,2,1
13,7,3,0,2,1
13,7,4,0,2,1
14,7,1,0,2,1
14,7,2,0,2,1
14,7,3,0,2,1
14,7,4,0,2,1
15,7,1,0,2,1
15,7,2,0,2,1
15,7,3,0,2,1
15,7,4,0,2,1
16,7,1,0,2,1
16,7,2,0,2,1
16,7,3,0,2,1
16,7,4,0,2,1
18,7,1,0,2,1
18,7,2,0,2,1
18,7,3,0,2,1
18,7,4,0,2,1
