hybrid_zone_id,msoa_zone_id,hybrid_to_msoa,msoa_to_hybrid
E01028917,E02006025,1,0.152318559
E01028906,E02006025,1,0.130924353
E01028916,E02006025,1,0.157539154
E01028924,E02006025,1,0.192957314
E01028908,E02006025,1,0.179035725
E01028907,E02006025,1,0.187224895
E01014006,E02002911,1,0.150573865
E01014100,E02002911,1,0.170790776
E01014016,E02002911,1,0.161524692
E01014012,E02002911,1,0.172264926
E01014013,E02002911,1,0.226913762
E01014101,E02002911,1,0.117931979
E01014087,E02002914,1,0.162225789
E01014088,E02002914,1,0.163723917
E01014089,E02002914,1,0.157838416
E01014085,E02002914,1,0.160085607
E01014084,E02002914,1,0.176672017
E01014083,E02002914,1,0.179454254
E01014077,E02002917,1,0.223870347
E01014075,E02002917,1,0.25820629
E01014078,E02002917,1,0.210960033
E01014076,E02002917,1,0.306963329
E01014079,E02002920,1,0.248318222
E01014080,E02002920,1,0.208540509
E01013997,E02002920,1,0.301257678
E01013996,E02002920,1,0.241883592
E01013990,E02002922,1,0.298084064
E01013991,E02002922,1,0.201693153
E01014014,E02002922,1,0.291846131
E01014054,E02002922,1,0.208376652
E01014050,E02002927,1,0.153228533
E01014031,E02002927,1,0.126774848
E01014058,E02002927,1,0.139367816
E01014049,E02002927,1,0.14173428
E01014032,E02002927,1,0.141565247
E01014053,E02002927,1,0.150016903
E01014057,E02002927,1,0.147312373
E01014082,E02002912,1,0.281104767
E01014023,E02002912,1,0.237285885
E01014022,E02002912,1,0.278980215
E01014081,E02002912,1,0.202629133
E01014060,E02002925,1,0.153574581
E01014099,E02002925,1,0.158164166
E01014069,E02002925,1,0.176522507
E01014098,E02002925,1,0.139187996
E01014026,E02002925,1,0.189055605
E01014059,E02002925,1,0.183495146
E01014048,E02002907,1,0.261828645
E01014046,E02002907,1,0.235933504
E01014045,E02002907,1,0.269820972
E01014047,E02002907,1,0.23241688
E01014091,E02002918,1,0.246845028
E01014094,E02002918,1,0.257614
E01014090,E02002918,1,0.246340232
E01014093,E02002918,1,0.24920074
E01014073,E02002919,1,0.229175132
E01014074,E02002919,1,0.170357578
E01014070,E02002919,1,0.235168631
E01014072,E02002919,1,0.214953271
E01014068,E02002919,1,0.150345388
E01029001,E02006046,1,0.236498451
E01029002,E02006046,1,0.154493139
E01028995,E02006046,1,0.166223993
E01029000,E02006046,1,0.12184595
E01028999,E02006046,1,0.171204073
E01028996,E02006046,1,0.149734396
E01013995,E02002921,1,0.217923604
E01013992,E02002921,1,0.197355534
E01013994,E02002921,1,0.194906954
E01014071,E02002921,1,0.188295788
E01013993,E02002921,1,0.201518119
E01014051,E02002905,1,0.293647131
E01014052,E02002905,1,0.24596216
E01014096,E02002905,1,0.233348716
E01013998,E02002905,1,0.227041994
E01014025,E02002908,1,0.167944171
E01014024,E02002908,1,0.144377074
E01014055,E02002908,1,0.190710445
E01014097,E02002908,1,0.147237158
E01014017,E02002908,1,0.16451207
E01013999,E02002908,1,0.185219082
E01014043,E02002906,1,0.191544715
E01014041,E02002906,1,0.281463415
E01014044,E02002906,1,0.253333333
E01014042,E02002906,1,0.273658537
E01029014,E02006043,1,0.174933959
E01029004,E02006043,1,0.134429117
E01029013,E02006043,1,0.262400939
E01029015,E02006043,1,0.200763135
E01028993,E02006043,1,0.22747285
E01013989,E02002916,1,0.155992141
E01014086,E02002916,1,0.144793713
E01014092,E02002916,1,0.193320236
E01013986,E02002916,1,0.172986248
E01014010,E02002916,1,0.183005894
E01014011,E02002916,1,0.149901768
E01029007,E02006045,1,0.104609767
E01029009,E02006045,1,0.101780009
E01029012,E02006045,1,0.180648106
E01029011,E02006045,1,0.135554541
E01029010,E02006045,1,0.116750342
E01033527,E02006045,1,0.117206755
E01033526,E02006045,1,0.098585121
E01029006,E02006045,1,0.144865358
E01014064,E02002926,1,0.150471324
E01014066,E02002926,1,0.103074619
E01014065,E02002926,1,0.136199454
E01014063,E02002926,1,0.16580037
E01014067,E02002926,1,0.127037265
E01014062,E02002926,1,0.153202361
E01014061,E02002926,1,0.164214607
E01014007,E02002915,1,0.327467084
E01013988,E02002915,1,0.254855951
E01014095,E02002915,1,0.205449094
E01013987,E02002915,1,0.212227871
E01009803,E02002035,1,0.267439987
E01009802,E02002035,1,0.277106493
E01009800,E02002035,1,0.250040277
E01009804,E02002035,1,0.205413243
E01032383,E02006757,1,0.219262003
E01032410,E02006757,1,0.198318849
E01032411,E02006757,1,0.232084342
E01032382,E02006757,1,0.185211569
E01032375,E02006757,1,0.165123237
E01032131,E02006708,1,0.214446418
E01032130,E02006708,1,0.335583185
E01032174,E02006708,1,0.193132031
E01032132,E02006708,1,0.256838366
E01009848,E02002037,1,0.263912029
E01009849,E02002037,1,0.265078307
E01009851,E02002037,1,0.234921693
E01009847,E02002037,1,0.236087971
E01009169,E02001955,1,0.218702448
E01009163,E02001955,1,0.300733158
E01009165,E02001955,1,0.193802739
E01009158,E02001955,1,0.286761654
E01009853,E02002041,1,0.219222638
E01009855,E02002041,1,0.263294845
E01009832,E02002041,1,0.271426248
E01009860,E02002041,1,0.246056269
E01032125,E02006704,1,0.21340513
E01032123,E02006704,1,0.217514525
E01032124,E02006704,1,0.221057106
E01032122,E02006704,1,0.348023239
E01009253,E02001906,1,0.162958115
E01009251,E02001906,1,0.161431065
E01009250,E02001906,1,0.173320244
E01009257,E02001906,1,0.171356894
E01009249,E02001906,1,0.163939791
E01009255,E02001906,1,0.166993892
E01009376,E02001910,1,0.236634894
E01009374,E02001910,1,0.156237049
E01033648,E02001910,1,0.376985772
E01009366,E02001910,1,0.230142285
E01009869,E02002031,1,0.250778561
E01009833,E02002031,1,0.244550074
E01009870,E02002031,1,0.247992132
E01009835,E02002031,1,0.256679233
E01009368,E02001903,1,0.188093981
E01033650,E02001903,1,0.348204857
E01009371,E02001903,1,0.239308342
E01009397,E02001903,1,0.224392819
E01009105,E02001851,1,0.18540763
E01009098,E02001851,1,0.225002781
E01009100,E02001851,1,0.226226226
E01009009,E02001851,1,0.167834501
E01009005,E02001851,1,0.195528862
E01033062,E02006709,1,0.288032207
E01033243,E02006709,1,0.204831036
E01033060,E02006709,1,0.242283762
E01032166,E02006709,1,0.264852995
E01009838,E02002036,1,0.24746481
E01009831,E02002036,1,0.217193885
E01009837,E02002036,1,0.239443015
E01009836,E02002036,1,0.29589829
E01032258,E02006731,1,0.257578444
E01032256,E02006731,1,0.240914731
E01032257,E02006731,1,0.24587839
E01032260,E02006731,1,0.255628435
E01033649,E02001884,1,0.196288295
E01009198,E02001884,1,0.187843676
E01009197,E02001884,1,0.178908091
E01033647,E02001884,1,0.157600157
E01009195,E02001884,1,0.27935978
E01031183,E02006509,1,0.264783614
E01031186,E02006509,1,0.261645193
E01031185,E02006509,1,0.222827882
E01031184,E02006509,1,0.25074331
E01010055,E02002070,1,0.193892191
E01010056,E02002070,1,0.180364829
E01010060,E02002070,1,0.210493954
E01010054,E02002070,1,0.211928674
E01010057,E02002070,1,0.203320353
E01032259,E02006728,1,0.189343211
E01032271,E02006728,1,0.199601083
E01032270,E02006728,1,0.197464026
E01032272,E02006728,1,0.177660635
E01032269,E02006728,1,0.235931044
E01032373,E02006766,1,0.165593613
E01032348,E02006766,1,0.166881277
E01032372,E02006766,1,0.182848313
E01032347,E02006766,1,0.171774401
E01032413,E02006766,1,0.152974504
E01032412,E02006766,1,0.159927891
E01032476,E02006774,1,0.181973684
E01032478,E02006774,1,0.206315789
E01032477,E02006774,1,0.157105263
E01032474,E02006774,1,0.223947368
E01032475,E02006774,1,0.230657895
E01009410,E02001852,1,0.272448838
E01009126,E02001852,1,0.203118474
E01009408,E02001852,1,0.248364193
E01009409,E02001852,1,0.276068495
E01033621,E02001861,1,0.295723385
E01009059,E02001861,1,0.164786169
E01009057,E02001861,1,0.191264786
E01009060,E02001861,1,0.159690628
E01009050,E02001861,1,0.188535032
E01009087,E02001868,1,0.172315187
E01009089,E02001868,1,0.182482525
E01009085,E02001868,1,0.226858716
E01009084,E02001868,1,0.203346749
E01009090,E02001868,1,0.214996823
E01032224,E02006724,1,0.263421419
E01032239,E02006724,1,0.282058414
E01032262,E02006724,1,0.293880389
E01032225,E02006724,1,0.160639777
E01032170,E02006698,1,0.212759463
E01032171,E02006698,1,0.227411477
E01032126,E02006698,1,0.306013431
E01032172,E02006698,1,0.253815629
E01032354,E02006748,1,0.370399272
E01032387,E02006748,1,0.216803225
E01032386,E02006748,1,0.18571986
E01032401,E02006748,1,0.227077643
