lsoa_int_zone_id,msoa_zone_id,lsoa_int_to_msoa,msoa_to_lsoa_int
E01028917,E02006025,1,0.063083203
E01028906,E02006025,1,0.055169659
E01028916,E02006025,1,0.382446809
E01028924,E02006025,1,0.317108304
E01028908,E02006025,1,0.023048801
E01028907,E02006025,1,0.159143225
E01014006,E02002911,1,0.105069073
E01014100,E02002911,1,0.204477923
E01014016,E02002911,1,0.207259047
E01014012,E02002911,1,0.101670918
E01014013,E02002911,1,0.03352397
E01014101,E02002911,1,0.347999069
E01014087,E02002914,1,0.058044595
E01014088,E02002914,1,0.059935431
E01014089,E02002914,1,0.075461062
E01014085,E02002914,1,0.051351211
E01014084,E02002914,1,0.366190034
E01014083,E02002914,1,0.389017667
E01014077,E02002917,1,0.409435491
E01014075,E02002917,1,0.354154618
E01014078,E02002917,1,0.128004377
E01014076,E02002917,1,0.108405514
E01014079,E02002920,1,0.769410546
E01014080,E02002920,1,0.18982671
E01013997,E02002920,1,0.030636452
E01013996,E02002920,1,0.010126292
E01013990,E02002922,1,0.163787181
E01013991,E02002922,1,0.172173631
E01014014,E02002922,1,0.359979568
E01014054,E02002922,1,0.304059619
E01014050,E02002927,1,0.223136893
E01014031,E02002927,1,0.094526506
E01014058,E02002927,1,0.104780627
E01014049,E02002927,1,0.108311067
E01014032,E02002927,1,0.119003447
E01014053,E02002927,1,0.241615291
E01014057,E02002927,1,0.108626169
E01014082,E02002912,1,0.142199824
E01014023,E02002912,1,0.324860132
E01014022,E02002912,1,0.191993478
E01014081,E02002912,1,0.340946567
E01014060,E02002925,1,0.125359403
E01014099,E02002925,1,0.243708439
E01014069,E02002925,1,0.002014778
E01014098,E02002925,1,0.101368142
E01014026,E02002925,1,0.236067291
E01014059,E02002925,1,0.291481948
E01014048,E02002907,1,0.021140634
E01014046,E02002907,1,0.476813372
E01014045,E02002907,1,0.487794162
E01014047,E02002907,1,0.014251831
E01014091,E02002918,1,0.262903345
E01014094,E02002918,1,0.18947716
E01014090,E02002918,1,0.236586339
E01014093,E02002918,1,0.311033157
E01014073,E02002919,1,0.098916078
E01014074,E02002919,1,0.219902931
E01014070,E02002919,1,0.144489243
E01014072,E02002919,1,0.443722479
E01014068,E02002919,1,0.092969269
E01029001,E02006046,1,0.258588927
E01029002,E02006046,1,0.002719221
E01028995,E02006046,1,0.092141917
E01029000,E02006046,1,0.22142678
E01028999,E02006046,1,0.214501943
E01028996,E02006046,1,0.210621212
E01013995,E02002921,1,0.155475847
E01013992,E02002921,1,0.323529465
E01013994,E02002921,1,0.174477863
E01014071,E02002921,1,0.169930398
E01013993,E02002921,1,0.176586426
E01014051,E02002905,1,0.188879666
E01014052,E02002905,1,0.508731052
E01014096,E02002905,1,0.183607658
E01013998,E02002905,1,0.118781624
E01014025,E02002908,1,0.144571528
E01014024,E02002908,1,0.230754323
E01014055,E02002908,1,0.144317932
E01014097,E02002908,1,0.170057285
