lsoa_zone_id,msoa_zone_id,lsoa_to_msoa,msoa_to_lsoa
E01018987,E02003945,1,0.366636931
E01018986,E02003945,1,0.288135593
E01018985,E02003945,1,0.345227475
E01018977,E02003948,1,0.015873016
E01018994,E02003948,1,0.183819764
E01018997,E02003948,1,0.035842294
E01018996,E02003948,1,0.642601126
E01018976,E02003948,1,0.121863799
E01019001,E02003949,1,0.186948854
E01018995,E02003949,1,0.44116906
E01018998,E02003949,1,0.006046863
E01018999,E02003949,1,0.365835223
E01018984,E02003944,1,0.08492823
E01018982,E02003944,1,0.171351675
E01018981,E02003944,1,0.273624402
E01018978,E02003944,1,0.125299043
E01018983,E02003944,1,0.344796651
E01018993,E02003950,1,0.263091483
E01018992,E02003950,1,0.227760252
E01019005,E02003950,1,0.509148265
E01019011,E02003943,1,0.18011257
E01019008,E02003943,1,0.020403377
E01019012,E02003943,1,0.669793621
E01019009,E02003943,1,0.086069418
E01019010,E02003943,1,0.043621013
E01019003,E02003951,1,0.339869281
E01019000,E02003951,1,0.174019608
E01019004,E02003951,1,0.27124183
E01019002,E02003951,1,0.214869281
E01019077,E02006781,1,1
E01019006,E02003947,1,0.141848977
E01018991,E02003947,1,0.082215949
E01018989,E02003947,1,0.157727594
E01018988,E02003947,1,0.618207481
E01018887,E02003928,1,0.196114709
E01018885,E02003928,1,0.105226642
E01018882,E02003928,1,0.008788159
E01018883,E02003928,1,0.253237743
E01018886,E02003928,1,0.240518039
E01018888,E02003928,1,0.165587419
E01018884,E02003928,1,0.03052729
E01018840,E02003915,1,0.550567108
E01018841,E02003915,1,0.086483932
E01018838,E02003915,1,0.039224953
E01018839,E02003915,1,0.145085066
E01018860,E02003915,1,0.178638941
E01018924,E02003937,1,0.531112884
E01033289,E02003937,1,0.317510969
E01018962,E02003937,1,0.151376147
E01018974,E02003932,1,0.32617001
E01018951,E02003932,1,0.312320917
E01018943,E02003932,1,0.361509074
E01018808,E02003910,1,0.009696745
E01018807,E02003910,1,0.203322834
E01018809,E02003910,1,0.526403558
E01018810,E02003910,1,0.260576864
E01018901,E02003927,1,0.05615942
E01018879,E02003927,1,0.216097308
E01018900,E02003927,1,0.208074534
E01018880,E02003927,1,0.152950311
E01018899,E02003927,1,0.366718427
E01018751,E02003894,1,0.183301344
E01018750,E02003894,1,0.044465771
E01018779,E02003894,1,0.216570697
E01018752,E02003894,1,0.555662188
E01019038,E02003964,1,0.143426295
E01019039,E02003964,1,0.0904076
E01019068,E02003964,1,0.076923077
E01019040,E02003964,1,0.108795587
E01019067,E02003964,1,0.458167331
E01019066,E02003964,1,0.12228011
E01018842,E02003906,1,0.101354303
E01018833,E02003906,1,0.276103102
E01018844,E02003906,1,0.328964613
E01018843,E02003906,1,0.293577982
E01019020,E02003955,1,0.400761905
E01019019,E02003955,1,0.296
E01019021,E02003955,1,0.054095238
E01019022,E02003955,1,0.060952381
E01019023,E02003955,1,0.084571429
E01019018,E02003955,1,0.103619048
E01020294,E02004227,1,0.170841023
E01020302,E02004227,1,0.121012391
E01020293,E02004227,1,0.398101766
E01020309,E02004227,1,0.16688637
E01020291,E02004227,1,0.14315845
E01019042,E02003963,1,0.053477066
E01019033,E02003963,1,0.37983513
E01019043,E02003963,1,0.322553371
E01019041,E02003963,1,0.1371803
E01019046,E02003963,1,0.007398013
E01019044,E02003963,1,0.099556119
E01018831,E02003905,1,0.179258242
E01018832,E02003905,1,0.228708791
E01018847,E02003905,1,0.17239011
E01018815,E02003905,1,0.419642857
E01018965,E02003936,1,0.50787497
E01018966,E02003936,1,0.102253453
E01018925,E02003936,1,0.122849528
E01018967,E02003936,1,0.1541071
E01018952,E02003936,1,0.11291495
E01018910,E02003919,1,0.446830059
E01018909,E02003919,1,0.083248937
E01018911,E02003919,1,0.258456553
E01018908,E02003919,1,0.211464452
E01018932,E02003941,1,0.310076207
E01018935,E02003941,1,0.0680779
E01018933,E02003941,1,0.162404742
E01018934,E02003941,1,0.459441152
E01019024,E02003960,1,0.130239521
E01019025,E02003960,1,0.20758483
E01019027,E02003960,1,0.458083832
E01019026,E02003960,1,0.204091816
E01019058,E02003959,1,0.246978243
E01019057,E02003959,1,0.232473811
E01019059,E02003959,1,0.514101531
E01019056,E02003959,1,0.006446414
E01018811,E02003917,1,0.215890411
E01018859,E02003917,1,0.115068493
E01018814,E02003917,1,0.594520548
E01018813,E02003917,1,0.058082192
E01018812,E02003917,1,0.016438356
E01019051,E02003952,1,0.050187266
E01019048,E02003952,1,0.248314607
E01019050,E02003952,1,0.337453184
E01019049,E02003952,1,0.364044944
E01018867,E02003923,1,0.15729266
E01018866,E02003923,1,0.066730219
E01018865,E02003923,1,0.085795996
E01018868,E02003923,1,0.690181125
E01018891,E02003918,1,0.266336634
E01018892,E02003918,1,0.462376238
E01018890,E02003918,1,0.133663366
E01018889,E02003918,1,0.054455446
E01018893,E02003918,1,0.083168317
E01018783,E02003893,1,0.274757282
E01018784,E02003893,1,0.265048544
E01018782,E02003893,1,0.066990291
E01018777,E02003893,1,0.393203883
E01019074,E02003957,1,0.059960552
E01019036,E02003957,1,0.24852071
E01019076,E02003957,1,0.117948718
E01019075,E02003957,1,0.246153846
E01019035,E02003957,1,0.198816568
E01019037,E02003957,1,0.128599606
E01018799,E02003902,1,0.311414392
E01018797,E02003902,1,0.573200993
E01018798,E02003902,1,0.091811414
E01018800,E02003902,1,0.023573201
E01018791,E02003900,1,0.148288973
E01018789,E02003900,1,0.070722433
E01018792,E02003900,1,0.312547529
E01018793,E02003900,1,0.468441065
E01018923,E02003940,1,0.15674984
E01018944,E02003940,1,0.226487524
E01018945,E02003940,1,0.280230326
E01018926,E02003940,1,0.33653231
E01019070,E02003958,1,0.101733233
E01019071,E02003958,1,0.246420497
E01019069,E02003958,1,0.278070836
E01019072,E02003958,1,0.174076865
E01019073,E02003958,1,0.199698568
E01018917,E02003921,1,0.127747253
E01018919,E02003921,1,0.127747253
E01018916,E02003921,1,0.201923077
E01018918,E02003921,1,0.542582418
E01018903,E02003930,1,0.32148958
E01018902,E02003930,1,0.131875641
E01018920,E02003930,1,0.183464298
E01018881,E02003930,1,0.21147933
E01018904,E02003930,1,0.151691151
E01018820,E02003911,1,0.317035512
E01018817,E02003911,1,0.329387545
E01018821,E02003911,1,0.108080288
E01018816,E02003911,1,0.098301595
E01018818,E02003911,1,0.147195059
E01018761,E02003901,1,0.118304611
E01018760,E02003901,1,0.176525384
E01018766,E02003901,1,0.299487657
E01018774,E02003901,1,0.218444341
E01018759,E02003901,1,0.187238007
E01018775,E02003904,1,0.157210402
E01018776,E02003904,1,0.45212766
E01018762,E02003904,1,0.270094563
E01018773,E02003904,1,0.120567376
E01018835,E02003914,1,0.028173281
E01018837,E02003914,1,0.438049076
E01018834,E02003914,1,0.500757346
E01018836,E02003914,1,0.033020297
E01018845,E02003912,1,0.215406562
E01018850,E02003912,1,0.228245364
E01018846,E02003912,1,0.194721826
E01018848,E02003912,1,0.074536377
E01018849,E02003912,1,0.287089872
E01018758,E02003895,1,0.402176947
E01018778,E02003895,1,0.171643874
E01018768,E02003895,1,0.087636059
E01018769,E02003895,1,0.33854312
E01019029,E02003954,1,0.583463339
E01019028,E02003954,1,0.212948518
E01019030,E02003954,1,0.027821113
E01019031,E02003954,1,0.175767031
E01018913,E02003920,1,0.541466758
E01018912,E02003920,1,0.120630569
E01018915,E02003920,1,0.071967101
E01018914,E02003920,1,0.265935572
E01018940,E02003933,1,0.219322599
E01018941,E02003933,1,0.113270405
E01018969,E02003933,1,0.413659078
E01018942,E02003933,1,0.253747918
E01018803,E02003916,1,0.462193046
E01018804,E02003916,1,0.333576465
E01018805,E02003916,1,0.19645028
E01018806,E02003916,1,0.007780209
E01018931,E02003942,1,0.010521042
E01018929,E02003942,1,0.710921844
E01018930,E02003942,1,0.028056112
E01018927,E02003942,1,0.068637275
E01018928,E02003942,1,0.181863727
E01018957,E02003938,1,0.143835616
E01018954,E02003938,1,0.089726027
E01018955,E02003938,1,0.295547945
E01018958,E02003938,1,0.368493151
E01018956,E02003938,1,0.10239726
E01018854,E02003908,1,0.409392265
E01018853,E02003908,1,0.261325967
E01018823,E02003908,1,0.148066298
E01018824,E02003908,1,0.18121547
E01018787,E02003897,1,0.849934469
E01018796,E02003897,1,0.00491481
E01018764,E02003897,1,0.113368283
E01018795,E02003897,1,0.031782438
E01018938,E02003931,1,0.075418202
E01018959,E02003931,1,0.047916076
E01018961,E02003931,1,0.073433513
E01018936,E02003931,1,0.471222002
E01018937,E02003931,1,0.233626311
E01018960,E02003931,1,0.098383896
E01019052,E02003956,1,0.144167278
E01019053,E02003956,1,0.718635363
E01019054,E02003956,1,0.118488628
E01019055,E02003956,1,0.018708731
E01019045,E02003962,1,0.128822984
E01019047,E02003962,1,0.464782206
E01019032,E02003962,1,0.018999073
E01019034,E02003962,1,0.387395737
E01018772,E02003896,1,0.320142285
E01018767,E02003896,1,0.176078257
E01018771,E02003896,1,0.48065807
E01018770,E02003896,1,0.023121387
E01018968,E02003934,1,0.416823308
E01033292,E02003934,1,0.213815789
E01033291,E02003934,1,0.204417293
E01018953,E02003934,1,0.164943609
E01018971,E02003939,1,0.109820486
E01018973,E02003939,1,0.048574446
E01018972,E02003939,1,0.757127772
E01018970,E02003939,1,0.084477297
