lsoa_zone_id,msoa_zone_id,lsoa_to_msoa,msoa_to_lsoa
E01013986,E02002916,1,0.085237253
E01013987,E02002915,1,0.086110313
E01013988,E02002915,1,0.053784112
E01013989,E02002916,1,0.094450153
E01013990,E02002922,1,0.163452674
E01013991,E02002922,1,0.17235087
E01013992,E02002921,1,0.32151942
E01013993,E02002921,1,0.180695765
E01013994,E02002921,1,0.176598902
E01013995,E02002921,1,0.153876021
E01013996,E02002920,1,0.010012915
E01013997,E02002920,1,0.030730471
E01013998,E02002905,1,0.11863478
E01013999,E02002908,1,0.139518603
E01014006,E02002911,1,0.105143722
E01014007,E02002915,1,0.846968953
E01014008,E02002910,1,0.23891586
E01014009,E02002910,1,0.290017964
E01014010,E02002916,1,0.307743346
E01014011,E02002916,1,0.102366686
E01014012,E02002911,1,0.101605485
E01014013,E02002911,1,0.033541543
E01014014,E02002922,1,0.359950224
E01014016,E02002911,1,0.207206084
E01014017,E02002908,1,0.1707767
E01014018,E02002924,1,0.241736142
E01014019,E02002924,1,0.148002626
E01014020,E02002924,1,0.432186325
E01014021,E02002924,1,0.178074908
E01014022,E02002912,1,0.19193458
E01014023,E02002912,1,0.324883278
E01014024,E02002908,1,0.230766599
E01014025,E02002908,1,0.144530597
E01014026,E02002925,1,0.235944578
E01014033,E02002910,1,0.168461386
E01014034,E02002910,1,0.002331532
E01014041,E02002906,1,0.057651466
E01014042,E02002906,1,0.240388435
E01014043,E02002906,1,0.097473072
E01014044,E02002906,1,0.604487027
E01014045,E02002907,1,0.487520861
E01014046,E02002907,1,0.477196878
E01014047,E02002907,1,0.014141973
E01014048,E02002907,1,0.021140288
E01014051,E02002905,1,0.188929652
E01014052,E02002905,1,0.50904801
E01014054,E02002922,1,0.304246232
E01014055,E02002908,1,0.144388722
E01014056,E02002910,1,0.300273258
E01014059,E02002925,1,0.291536408
E01014060,E02002925,1,0.125509425
E01014061,E02002926,1,0.583431523
E01014062,E02002926,1,0.054628183
E01014063,E02002926,1,0.05933487
E01014064,E02002926,1,0.038604441
E01014065,E02002926,1,0.063951905
E01014066,E02002926,1,0.097691112
E01014067,E02002926,1,0.102357967
E01014068,E02002919,1,0.09539095
E01014069,E02002925,1,0.00195983
E01014070,E02002919,1,0.147598973
E01014071,E02002921,1,0.167309891
E01014072,E02002919,1,0.443349277
E01014073,E02002919,1,0.097711322
E01014074,E02002919,1,0.215949477
E01014075,E02002917,1,0.355990474
E01014076,E02002917,1,0.108587901
E01014077,E02002917,1,0.405959144
E01014078,E02002917,1,0.129462481
E01014079,E02002920,1,0.769582841
E01014080,E02002920,1,0.189673773
E01014081,E02002912,1,0.341007678
E01014082,E02002912,1,0.142174463
E01014083,E02002914,1,0.390354042
E01014084,E02002914,1,0.364998007
E01014085,E02002914,1,0.051381672
E01014086,E02002916,1,0.090988013
E01014087,E02002914,1,0.057636534
E01014088,E02002914,1,0.059315895
E01014089,E02002914,1,0.07631385
E01014090,E02002918,1,0.237367988
E01014091,E02002918,1,0.262060739
E01014092,E02002916,1,0.319214549
E01014093,E02002918,1,0.31141392
E01014094,E02002918,1,0.189157353
E01014095,E02002915,1,0.013136621
E01014096,E02002905,1,0.183387558
E01014097,E02002908,1,0.170018778
E01014098,E02002925,1,0.101327083
E01014099,E02002925,1,0.243722675
E01014100,E02002911,1,0.204417094
E01014101,E02002911,1,0.348086073
E01014102,E02002934,1,0.636625184
E01014103,E02002934,1,0.110886086
E01014104,E02002938,1,0.253229308
E01014105,E02002938,1,0.170533084
E01014113,E02002938,1,0.25173947
E01014114,E02002938,1,0.324498138
E01014129,E02002933,1,0.111787124
E01014130,E02002933,1,0.264774219
E01014133,E02002939,1,0.347571294
