lsoa_zone_id,msoa_zone_id,lsoa_to_msoa,msoa_to_lsoa
E01018987,E02003945,1,0.343495272
E01018986,E02003945,1,0.249103358
E01018985,E02003945,1,0.407401369
E01018977,E02003948,1,0.174029126
E01018994,E02003948,1,0.200242718
E01018997,E02003948,1,0.182038835
E01018996,E02003948,1,0.186165049
E01018976,E02003948,1,0.257524272
E01019001,E02003949,1,0.24556391
E01018995,E02003949,1,0.312180451
E01018998,E02003949,1,0.207368421
E01018999,E02003949,1,0.234887218
E01018984,E02003944,1,0.242427262
E01018982,E02003944,1,0.22299721
E01018981,E02003944,1,0.212833798
E01018978,E02003944,1,0.166002391
E01018983,E02003944,1,0.155739338
E01018993,E02003950,1,0.299519487
E01018992,E02003950,1,0.315358605
E01019005,E02003950,1,0.385121908
E01019011,E02003943,1,0.219121813
E01019008,E02003943,1,0.186827195
E01019012,E02003943,1,0.205807365
E01019009,E02003943,1,0.216005666
E01019010,E02003943,1,0.17223796
E01019003,E02003951,1,0.295416527
E01019000,E02003951,1,0.228169957
E01019004,E02003951,1,0.257611241
E01019002,E02003951,1,0.218802275
E01019077,E02006781,1,1
E01019006,E02003947,1,0.245547842
E01018991,E02003947,1,0.237247208
E01018989,E02003947,1,0.271355267
E01018988,E02003947,1,0.245849683
E01018887,E02003928,1,0.134286882
E01018885,E02003928,1,0.119329792
E01018882,E02003928,1,0.119084593
E01018883,E02003928,1,0.141888026
E01018886,E02003928,1,0.149243972
E01018888,E02003928,1,0.198692276
E01018884,E02003928,1,0.137474459
E01018840,E02003915,1,0.211850547
E01018841,E02003915,1,0.187067556
E01018838,E02003915,1,0.206818468
E01018839,E02003915,1,0.147691534
E01018860,E02003915,1,0.246571896
E01018924,E02003937,1,0.240021383
E01033289,E02003937,1,0.384711333
E01018962,E02003937,1,0.375267284
E01018974,E02003932,1,0.366648922
E01018951,E02003932,1,0.312882619
E01018943,E02003932,1,0.320468459
E01018808,E02003910,1,0.239603025
E01018807,E02003910,1,0.208569628
E01018809,E02003910,1,0.336798992
E01018810,E02003910,1,0.215028355
E01018901,E02003927,1,0.163580518
E01018879,E02003927,1,0.169723563
E01018900,E02003927,1,0.139973673
E01018880,E02003927,1,0.201755156
E01018899,E02003927,1,0.324967091
E01018751,E02003894,1,0.187619275
